"Licence Number","Licence Description","Licence Type","Licence Status","Licensee","Additional Licensee","Trading Name","Dtf Location","Start Date","Expiry Date","Council Area","Postcode","longitude","latitude"
6454,"Licensing Act 2003","Premises Licence","Granted","Addlott Ltd",NA,"Kings Arms","KINGS ARMS, 36, Tarrant Street, ARUNDEL, West Sussex, BN18 9DN","24/11/2005",NA,NA,"BN18 9DN",-0.558366,50.853158
6457,"Licensing Act 2003","Premises Licence","Granted","Mrs Samantha Smith Mr Ian Smith",NA,"Maypole Inn","The Maypole Inn, Maypole Lane, Yapton, Arundel, West Sussex, BN18 0DP","05/11/2017",NA,NA,"BN18 0DP",-0.612832,50.828826
6464,"Licensing Act 2003","Premises Licence","Granted","David Kibble Wines",NA,"David Kibble Wines","4, Orchard Crescent, Arundel Road, Fontwell, Arundel, West Sussex, BN18 0SD","24/11/2005",NA,NA,"BN18 0SD",-0.644636,50.854443
6466,"Licensing Act 2003","Premises Licence","Granted","Mr Manuel Quirosa",NA,"Restaurante Andalucia","58 Ferring Street, Ferring, Worthing, West Sussex, BN12 5JP","09/02/2018",NA,NA,"BN12 5JP",-0.446761,50.815475
6468,"Licensing Act 2003","Premises Licence","Granted","Mr Aziz Yagmur",NA,"Charcoal Grill","18 High Street, LITTLEHAMPTON, West Sussex, BN17 5EE","06/06/2016",NA,NA,"BN17 5EE",-0.544295,50.809546
6470,"Licensing Act 2003","Premises Licence","Granted","Favourite Uk Pizza Ltd",NA,"Favourite Pizza","8A High Street, LITTLEHAMPTON, West Sussex, BN17 5EE","05/03/2018",NA,"Arun","BN17 5EE",-0.544295,50.809546
6483,"Licensing Act 2003","Premises Licence","Granted","Punch Partnerships (PTL) Ltd",NA,"Red Lion","The Red Lion, 45, High Street, Arundel, West Sussex, BN18 9AG","05/03/2018",NA,"Arun","BN18 9AG",-0.554072,50.854193
6484,"Licensing Act 2003","Premises Licence","Granted","Mrs Yuen Ting Wylie Bayley",NA,"China Dragon Takeaway","12, ROYAL PARADE, Central Avenue, Bersted, BOGNOR REGIS, West Sussex, PO21 5AJ","28/06/2013",NA,NA,"PO21 5AJ",-0.691165,50.797023
6486,"Licensing Act 2003","Premises Licence","Granted","Bognor Freemasons Hall Ltd",NA,"Gordon Centre (masonic Hall)","MASONIC HALL, 9, Canada Grove, BOGNOR REGIS, West Sussex, PO21 1DW","24/11/2005",NA,"Arun","PO21 1DW",-0.677793,50.785379
6490,"Licensing Act 2003","Premises Licence","Granted","Tracey Elizabeth Coombs",NA,"Waterloo Inn","WATERLOO INN, 14, Waterloo Square, BOGNOR REGIS, West Sussex, PO21 1SU","09/08/2011",NA,"Arun","PO21 1SU",-0.675576,50.782503
6499,"Licensing Act 2003","Premises Licence","Granted","Mr J Mcelhatton & Mrs D Mcelhatton",NA,"The Windmill","THE WINDMILL INN, Mill Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 3JN","21/02/2014",NA,NA,"BN16 3JN",-0.501858,50.817022
6503,"Licensing Act 2003","Premises Licence","Granted","Mr Graham Abbot",NA,"Climping Village Hall","Climping Village Hall, Bridge Road, Climping, Littlehampton, West Sussex, BN17 5SN","04/11/2011",NA,NA,"BN17 5SN",-0.575459,50.806909
6519,"Licensing Act 2003","Premises Licence","Granted","Leisureplex Ltd",NA,"Royal Norfolk Hotel","The Royal Norfolk Hotel, The Esplanade, Bognor Regis, West Sussex, PO21 2LH","11/09/2017",NA,"Arun","PO21 2LH",-0.680264,50.781514
6529,"Licensing Act 2003","Premises Licence","Granted","Angmering Village Hall Trustee",NA,"Angmering Village Hall","ANGMERING VILLAGE HALL, Station Road, Angmering, West Sussex","24/11/2005",NA,NA,"West Sussex",NA,NA
6537,"Licensing Act 2003","Premises Licence","Granted","Felpham George Inn Ltd",NA,"The George Inn","THE GEORGE, 102, Felpham Road, Felpham, BOGNOR REGIS, West Sussex, PO22 7PL","22/09/2009",NA,"Arun","PO22 7PL",-0.652167,50.791265
6541,"Licensing Act 2003","Premises Licence","Granted","The Littlehampton Academy",NA,"Littlehampton Academy","THE LITTLEHAMPTON ACADEMY, Fitzalan Road, LITTLEHAMPTON, West Sussex, BN17 6FE","29/04/2010",NA,NA,"BN17 6FE",-0.535343,50.814839
6560,"Licensing Act 2003","Premises Licence","Granted","Sunny Garden",NA,"Sunny Garden","31 Station Road, Bognor Regis, West Sussex, PO21 1QD","25/01/2017",NA,"Arun","PO21 1QD",-0.675957,50.785853
6567,"Licensing Act 2003","Premises Licence","Granted","Spirit Pub Company (Services) Ltd",NA,"The Martlets","THE MARTLETS PUBLIC HOUSE, Aldwick Road, Aldwick, BOGNOR REGIS, West Sussex, PO21 3AD","17/03/2016",NA,NA,"PO21 3AD",-0.69727,50.785671
6569,"Licensing Act 2003","Premises Licence","Granted","East Preston Parish Council",NA,"East Preston Village Hall / Bay Tree Lunch Club","VILLAGE HALL, Sea Road, East Preston, LITTLEHAMPTON, West Sussex, BN16 1LP","02/04/2013",NA,NA,"BN16 1LP",-0.481132,50.808256
6575,"Licensing Act 2003","Premises Licence","Granted","Messrs K Miah & A Hoque",NA,"Bengal Tandoori","116 - 120 Downs Way, East Preston, LITTLEHAMPTON, West Sussex, BN16 1AF","24/11/2005",NA,NA,"BN16 1AF",-0.477545,50.81686
6576,"Licensing Act 2003","Premises Licence","Granted","Mr T H Green",NA,"Dizzy Ducklings","COMMUNITY CENTRE, 90, Pryors Lane, Aldwick, BOGNOR REGIS, West Sussex, PO21 4JF","24/11/2005",NA,NA,"PO21 4JF",-0.717979,50.782132
6577,"Licensing Act 2003","Premises Licence","Granted","M A Majid M J R Majid & A Ali",NA,"Magna Tandoori","33 Argyle Road, BOGNOR REGIS, West Sussex, PO21 1EB","24/11/2005",NA,"Arun","PO21 1EB",-0.678962,50.782911
6580,"Licensing Act 2003","Premises Licence","Granted","Mr L X Lin",NA,"Dragon","125 Sea Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 2SG","01/03/2013",NA,NA,"BN16 2SG",-0.511721,50.804153
6581,"Licensing Act 2003","Premises Licence","Granted","Mrs Carole Susan Austin",NA,"The George And Dragon","GEORGE AND DRAGON, The Street, Houghton, ARUNDEL, West Sussex, BN18 9LW","01/10/2009",NA,NA,"BN18 9LW",-0.552836,50.894601
6590,"Licensing Act 2003","Premises Licence","Granted","Mr Srisarvendran Thedchanamoorthy",NA,"London Stores","51A London Road, BOGNOR REGIS, West Sussex, PO21 1DG","23/10/2013",NA,NA,"PO21 1DG",-0.674026,50.786398
6592,"Licensing Act 2003","Premises Licence","Granted","South Coast Foods Ltd",NA,"McDonalds Restaurant","MCDONALDS RESTAURANT, Lyminster Road, Lyminster, LITTLEHAMPTON, West Sussex, BN17 7QQ","19/03/2017",NA,NA,"BN17 7QQ",-0.5419,50.839958
6598,"Licensing Act 2003","Premises Licence","Granted","Aldwick Parochial Church",NA,"Mosse Memorial Hall - Dizzy Ducklings","MOSSE MEMORIAL HALL, St Richards Way, Aldwick, BOGNOR REGIS, West Sussex, PO21 3BD","24/11/2005",NA,NA,"PO21 3BD",-0.711226,50.784746
6600,"Licensing Act 2003","Premises Licence","Granted","Beckwell Ltd",NA,"Bailiffscourt Hotel & Spa","Bailiffscourt Hotel, Climping Street, Climping, Littlehampton, West Sussex, BN17 5RW","24/11/2005",NA,NA,"BN17 5RW",-0.580009,50.798197
6609,"Licensing Act 2003","Premises Licence","Granted","Wealden Leisure Ltd",NA,"Freedom Leisure (windmill Theatre)","WINDMILL COMPLEX, Coastguard Road, LITTLEHAMPTON, West Sussex, BN17 5LH","11/08/2016",NA,NA,"BN17 5LH",-0.541159,50.802411
6610,"Licensing Act 2003","Premises Licence","Granted","Mr K J Morris",NA,"Floral Fayre","Shop 5, Grassmere Parade, Felpham Road, Felpham, Bognor Regis, West Sussex, PO22 7NT","24/11/2005",NA,NA,"PO22 7NT",-0.654802,50.789919
6615,"Licensing Act 2003","Premises Licence","Granted","Ms M D Kataria",NA,"Coopers Stores (londis)","6 Norfolk Road, LITTLEHAMPTON, West Sussex, BN17 5PL","16/02/2017",NA,NA,"BN17 5PL",-0.532107,50.804403
6620,"Licensing Act 2003","Premises Licence","Granted","Mr Mark James Robinson",NA,"Pallant Wines","15 - 17 High Street, Arundel, West Sussex, BN18 9AD","04/05/2018",NA,NA,"BN18 9AD",-0.55358,50.854025
6629,"Licensing Act 2003","Premises Licence","Granted","Mr Nurul Islam",NA,"Monsoon","5, STERLING PARADE, The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3DR","24/11/2005",NA,"Arun","BN16 3DR",-0.507631,50.81019
6639,"Licensing Act 2003","Premises Licence","Granted","Mr Mustafa Bagli",NA,"Kebab Centre","301 Chichester Road, Bersted, BOGNOR REGIS, West Sussex, PO21 5AL","24/11/2005",NA,"Arun","PO21 5AL",-0.690873,50.797326
6642,"Licensing Act 2003","Premises Licence","Granted","Mrs Loreta Stojanovski",NA,"Golden Parrot Club","4, SELBORNE PLACE, Selborne Road, LITTLEHAMPTON, West Sussex, BN17 5NH","24/11/2005",NA,NA,"BN17 5NH",-0.535178,50.805143
6644,"Licensing Act 2003","Premises Licence","Granted","Mr Petre Stojanovski",NA,"Vardar Restaurant","3, SELBORNE PLACE, Selborne Road, LITTLEHAMPTON, West Sussex, BN17 5NH","24/11/2005",NA,NA,"BN17 5NH",-0.535178,50.805143
6647,"Licensing Act 2003","Premises Licence","Granted","KD Enterprise Trades Limited - Premier Linden Stores",NA,"Linden Road Stores","5 Linden Road, Bognor Regis, West Sussex, PO21 2AL","28/09/2017",NA,"Arun","PO21 2AL",-0.67747,50.786518
6650,"Licensing Act 2003","Premises Licence","Suspended","Brighton Thai Restaurants Limited - Tuptim Siam",NA,"Tuptim Siam Thai Restaurant","6 - 7, Lansdowne House, The Esplanade, Bognor Regis, West Sussex, PO21 1TR","07/04/2017",NA,"Arun","PO21 1TR",-0.678576,50.781
6651,"Licensing Act 2003","Premises Licence","Granted","Mrs Beverley Giacopazzi",NA,"Lamb Inn","THE LAMB INN, Steyne Street, BOGNOR REGIS, West Sussex, PO21 1TJ","18/06/2018",NA,NA,"PO21 1TJ",-0.677981,50.783493
6656,"Licensing Act 2003","Premises Licence","Granted","Mr Sinan Kalan",NA,"Sylvan Oak","SYLVAN OAK RESTAURANT, The Square, Findon, WORTHING, West Sussex, BN14 0TE","05/05/2015",NA,"Arun","BN14 0TE",-0.407003,50.868241
6658,"Licensing Act 2003","Premises Licence","Granted","Mr & Mrs Jayarajah",NA,"Hillside Stores","1 Hill Terrace, Arundel, West Sussex, BN18 9LA","24/11/2005",NA,NA,"BN18 9LA",-0.57241,50.852917
6659,"Licensing Act 2003","Premises Licence","Granted","Chris Lane Leisure (Holdings)",NA,"Lanes Health Club","HEALTH CLUB, Golfers Lane, Angmering, LITTLEHAMPTON, West Sussex, BN16 4NB","14/06/2017",NA,"Arun","BN16 4NB",-0.502348,50.822245
6671,"Licensing Act 2003","Premises Licence","Granted","Mr George Kuchczynski",NA,"Piccola Italia","24 Surrey Street, LITTLEHAMPTON, West Sussex, BN17 5BG","24/11/2005",NA,NA,"BN17 5BG",-0.54374,50.809297
6674,"Licensing Act 2003","Premises Licence","Granted","Arundel Hospitality Inn Ltd - Integral Leisure Ltd",NA,"Comfort Inn","COMFORT INN, Lyminster Road, Lyminster, LITTLEHAMPTON, West Sussex, BN17 7QQ","13/09/2012",NA,NA,"BN17 7QQ",-0.5419,50.839958
6684,"Licensing Act 2003","Premises Licence","Granted","Mr Mikin Patel",NA,"Costcutters","124 - 128 Downs Way, East Preston, LITTLEHAMPTON, West Sussex, BN16 1AF","24/11/2005",NA,NA,"BN16 1AF",-0.477545,50.81686
6689,"Licensing Act 2003","Premises Licence","Granted","Mr Harshad Patel",NA,"Premier Felpham Bazaar","5 - 7 Felpham Road, Felpham, Bognor Regis, West Sussex, PO22 7AS","08/10/2010",NA,"Arun","PO22 7AS",-0.656317,50.78705
6695,"Licensing Act 2003","Premises Licence","Granted","Pebble Hotels Ltd",NA,"White Swan","THE WHITE SWAN HOTEL, Chichester Road, ARUNDEL, West Sussex, BN18 0AD","29/10/2015",NA,"Arun","BN18 0AD",-0.580466,50.85663
6696,"Licensing Act 2003","Premises Licence","Granted","Mr Paul Crease",NA,"The Arun View Inn","ARUN VIEW INN, Wharf Road, LITTLEHAMPTON, West Sussex, BN17 5DD","31/03/2006",NA,NA,"BN17 5DD",-0.550486,50.81099
6697,"Licensing Act 2003","Premises Licence","Granted","Mr & Mrs Kavallierou",NA,"47 Mussel Row","MUSSEL HOUSE, Pier Road, LITTLEHAMPTON, West Sussex, BN17 5LP","27/08/2013",NA,"Arun","BN17 5LP",-0.542748,50.805138
6704,"Licensing Act 2003","Premises Licence","Granted","St Marys Church Hall",NA,"St Mary's Church Hall","CLIMPING CHURCH HALL, Church Lane, Climping, LITTLEHAMPTON, West Sussex, BN17 5RB","24/11/2005",NA,NA,"BN17 5RB",-0.577624,50.813195
6707,"Licensing Act 2003","Premises Licence","Granted","Mrs Louise Caroline Crawford",NA,"The Spur","THE SPUR PUBLIC HOUSE, London Road, Slindon, ARUNDEL, West Sussex, BN18 0NE","01/12/2010",NA,NA,"BN18 0NE",-0.623745,50.863821
6717,"Licensing Act 2003","Premises Licence","Granted","Mr A Levtov",NA,"Regis School Of Music","46 Sudley Road, BOGNOR REGIS, West Sussex, PO21 1ER","24/11/2005",NA,NA,"PO21 1ER",-0.673129,50.785281
6719,"Licensing Act 2003","Premises Licence","Granted","Punch Partnerships (PTL) Ltd",NA,"The Lamb Inn","THE LAMB INN, 144, Pagham Road, Pagham, BOGNOR REGIS, West Sussex, PO21 4NJ","05/03/2018",NA,"Arun","PO21 4NJ",-0.738082,50.77781
6725,"Licensing Act 2003","Premises Licence","Granted","Mr P T Englefield & Mrs A J F Englefield",NA,"Highdown Vineyard","HIGHDOWN VINEYARD, Littlehampton Road, Ferring, WORTHING, West Sussex, BN12 6PG","21/01/2011",NA,NA,"BN12 6PG",-0.444549,50.822245
6728,"Licensing Act 2003","Premises Licence","Granted","The Parsons Table Restaurant",NA,"Parsons Table","Units 2 And 8, Castle Mews, Tarrant Street, Arundel, West Sussex, BN18 9DG","21/10/2015",NA,"Arun","BN18 9DG",-0.555368,50.854092
6730,"Licensing Act 2003","Premises Licence","Granted","Trustees Of Slindon Coronation Hall",NA,"Coronation Hall","SLINDON CORONATION HALL, Reynolds Lane, Slindon, ARUNDEL, West Sussex, BN18 0QT","24/11/2005",NA,NA,"BN18 0QT",-0.627554,50.861366
6734,"Licensing Act 2003","Premises Licence","Granted","Heywood & Bryett Ltd",NA,"Ship & Anchor Public House","SHIP AND ANCHOR, Station Road, Ford, ARUNDEL, West Sussex, BN18 0BJ","10/11/2010",NA,NA,"BN18 0BJ",-0.579758,50.825847
6738,"Licensing Act 2003","Premises Licence","Granted","South Coast Inns Ltd",NA,"Angmering Manor","ANGMERING MANOR, High Street, Angmering, LITTLEHAMPTON, West Sussex, BN16 4AG","31/10/2016",NA,"Arun","BN16 4AG",-0.480074,50.828602
6740,"Licensing Act 2003","Premises Licence","Granted","Thai Pan 2005 Ltd",NA,"Thai Pan","96 Chichester Road, BOGNOR REGIS, West Sussex, PO21 5AA","24/11/2005",NA,NA,"PO21 5AA",-0.681576,50.794883
6742,"Licensing Act 2003","Premises Licence","Granted","Mr Matthew D A Becker",NA,"Beresford","THE BERESFORD PUBLIC HOUSE, 53 - 55, Elmer Road, Middleton-on-sea, BOGNOR REGIS, West Sussex, PO22 6EH","30/08/2017",NA,"Arun","PO22 6EH",-0.615724,50.794912
6755,"Licensing Act 2003","Premises Licence","Granted","Walberton Village Hall",NA,"Walberton Village Hall / Playing Fields","WALBERTON VILLAGE HALL, The Street, Walberton, West Sussex","24/11/2005",NA,NA,"West Sussex",NA,NA
6758,"Licensing Act 2003","Premises Licence","Granted","Yapton Community Hall Trustees",NA,"Yapton & Ford Village Hall","The Yapton And Ford Village Hall, Main Road, Yapton, Arundel, West Sussex, BN18 0ET","24/08/2010",NA,NA,"BN18 0ET",-0.612698,50.820911
6759,"Licensing Act 2003","Premises Licence","Granted","Tei Jian Wei",NA,"Millennium Dragon","32 Tarrant Street, ARUNDEL, West Sussex, BN18 9DJ","24/11/2005",NA,NA,"BN18 9DJ",-0.557034,50.85369
6760,"Licensing Act 2003","Premises Licence","Granted","Mr A Uzun",NA,"Golden Grill","11 Felpham Road, Felpham, Bognor Regis, West Sussex, PO22 7AS","17/01/2013",NA,"Arun","PO22 7AS",-0.656317,50.78705
6767,"Licensing Act 2003","Premises Licence","Granted","Peter Arnett",NA,"Crown Bingo & Social Club","64 London Road, BOGNOR REGIS, West Sussex, PO21 1PT","22/07/2017",NA,NA,"PO21 1PT",-0.674686,50.786145
6775,"Licensing Act 2003","Premises Licence","Granted","Mr Steven Jack Morrell",NA,"Dewdrop Inn","THE DEW DROP INN, 96, Wick Street, LITTLEHAMPTON, West Sussex, BN17 7JS","24/11/2005",NA,NA,"BN17 7JS",-0.543849,50.818849
6781,"Licensing Act 2003","Premises Licence","Surrendered","Mrs Mandy Sommerford",NA,"Panama Joe's","8 - 10 Arcade Road, Littlehampton, West Sussex, BN17 5AP","19/04/2017",NA,"Arun","BN17 5AP",-0.540779,50.808675
6784,"Licensing Act 2003","Premises Licence","Granted","Shiria Begum",NA,"Cardamom Bay","43 - 45 Queensway, Bognor Regis, West Sussex, PO21 1QN","13/12/2017",NA,NA,"PO21 1QN",-0.675467,50.784112
6788,"Licensing Act 2003","Premises Licence","Granted","Gonjom Ltd - Bognor Charcoal Grill",NA,"Bognor Regis Charcoal Grill","33 Station Road, Bognor Regis, West Sussex, PO21 1QD","29/01/2015",NA,"Arun","PO21 1QD",-0.675957,50.785853
6789,"Licensing Act 2003","Premises Licence","Suspended","Mr R Heagarty",NA,"Pier Hotel, Bar & Diner (Belle Vue Hotel)","Belle Vue Hotel, Waterloo Square, Bognor Regis, West Sussex, PO21 1TA","09/09/2016",NA,"Arun","PO21 1TA",-0.677199,50.781542
6796,"Licensing Act 2003","Premises Licence","Granted","Peel Leisure & Co Ltd",NA,"Steam Packet","THE STEAM PACKET, 54, River Road, LITTLEHAMPTON, West Sussex, BN17 5BZ","09/11/2015",NA,NA,"BN17 5BZ",-0.547788,50.809509
6799,"Licensing Act 2003","Premises Licence","Granted","Hawthorn Supermarket Ltd",NA,"Spar","53 Hawthorn Road, Bognor Regis, West Sussex, PO21 2BW","21/03/2018",NA,"Arun","PO21 2BW",-0.681216,50.793062
6800,"Licensing Act 2003","Premises Licence","Granted","Mr Mustafa Sen",NA,"Sen Med Tapas Bar","6 Sudley Road, BOGNOR REGIS, West Sussex, PO21 1EU","24/11/2005",NA,"Arun","PO21 1EU",-0.672187,50.78474
6804,"Licensing Act 2003","Premises Licence","Granted","Mr Matab Miah",NA,"Tandoori Nights","35 Sea Lane, Rustington, LITTLEHAMPTON, West Sussex, BN16 2RD","24/11/2005",NA,NA,"BN16 2RD",-0.510787,50.809879
6809,"Licensing Act 2003","Premises Licence","Granted","Mr R Gunaratnam",NA,"Gallent Store","8, Madeira Parade, Madeira Avenue, Bognor Regis, West Sussex, PO22 8DX","25/08/2016",NA,"Arun","PO22 8DX",-0.666503,50.793534
6817,"Licensing Act 2003","Premises Licence","Granted","The Fish Factory (Littlehampton)",NA,"Fish Factory","5 - 7 East Street, LITTLEHAMPTON, West Sussex, BN17 6AU","10/07/2009",NA,NA,"BN17 6AU",-0.539965,50.810949
6821,"Licensing Act 2003","Premises Licence","Granted","The Rector And Churchwardens",NA,"St Marys Centre","ST MARYS CENTRE, Grassmere Close, Felpham, BOGNOR REGIS, West Sussex, PO22 7NU","26/05/2017",NA,"Arun","PO22 7NU",-0.655052,50.790111
6822,"Licensing Act 2003","Premises Licence","Granted","Hall and Woodhouse Ltd",NA,"Black Rabbit Inn","The Black Rabbit Inn, Mill Road, South Stoke, Arundel, West Sussex, BN18 9PB","19/08/2016",NA,NA,"BN18 9PB",-0.545154,50.866843
6826,"Licensing Act 2003","Premises Licence","Granted","Butlers Arundel Ltd",NA,"Butlers","Butlers Bar And Restaurant, 25, Tarrant Street, Arundel, West Sussex, BN18 9DG","31/08/2017",NA,"Arun","BN18 9DG",-0.555368,50.854092
6831,"Licensing Act 2003","Premises Licence","Granted","Harvey & Son (Lewes) Ltd",NA,"White Hart Public House","White Hart, 12, Queen Street, Arundel, West Sussex, BN18 9JG","06/09/2011",NA,NA,"BN18 9JG",-0.55206,50.853098
6839,"Licensing Act 2003","Premises Licence","Granted","One Stop Stores Ltd",NA,"One Stop Community Stores","3 - 4, DURLSTON PARADE, Durlston Drive, Bersted, BOGNOR REGIS, West Sussex, PO22 9DJ","30/03/2015",NA,NA,"PO22 9DJ",-0.682332,50.797787
6845,"Licensing Act 2003","Premises Licence","Granted","Mr Ling Kang Hang",NA,"China Palace","67 High Street, Arundel, West Sussex, BN18 9AJ","24/11/2005",NA,"Arun","BN18 9AJ",-0.554742,50.854777
